1095	185613	\N	 	m,w,b,g	\N	\N
1096	\N	\N	\N	\N	maroon,black	\N
1105	117871	\N	 	m,w,b,g	\N	\N
1106	\N	\N	\N	\N	black,red,white	\N
1112	\N	\N	\N	\N	blue,aqua	\N
1116	117860	\N	 	m,w,b,g	\N	\N
1117	\N	\N	\N	\N	maroon,black	\N
1122	\N	\N	\N	\N	red,blue,white,black	\N
1125	185616	\N	 	m,w,b,g	\N	\N
1126	\N	\N	\N	\N	maroon,black	\N
1128	185618	\N	 	m,w,b,g	\N	\N
1129	\N	\N	\N	\N	maroon,black	\N
1133	117885	\N	 	m,w,b,g	\N	\N
1134	\N	\N	\N	\N	maroon,black	\N
1136	\N	\N	\N	\N	aqua,black	\N
1139	185628	\N	 	m,w,b,g	\N	\N
1141	185631	\N	 	m,w,b,g	\N	\N
1148	185630	\N	 	m,w,b,g	\N	\N
1151	185632	\N	 	m,w,b,g	\N	\N
1153	185629	\N	 	m,w,b,g	\N	\N
1155	\N	\N	\N	\N	lime,black	\N
1157	\N	\N	\N	\N	Orange,black	\N
1158	177966	\N	 	m,w,b,g	\N	\N
1160	\N	\N	\N	\N	Orange,blue	\N
1162	\N	\N	\N	\N	navy,blue	\N
1164	\N	\N	\N	\N	yellow,blue	\N
1166	\N	\N	\N	\N	navy,white,red	\N
1168	\N	\N	\N	\N	aqua,black	\N
1169	\N	\N	\N	\N	blue,yellow	\N
1170	\N	\N	\N	\N	black,maroon	\N
1173	\N	\N	\N	\N	navy,white,red	\N
1174	\N	\N	 	m,w	black,blue,white	\N
1176	185586	\N	 	m,w,b,g	\N	\N
1177	\N	\N	\N	\N	Orange,blue	\N
1180	\N	\N	 	m,w	black,white	\N
1181	185606	\N	 	m,w,b,g	\N	\N
1182	\N	\N	\N	\N	black,yellow	\N
1183	\N	\N	\N	\N	\N	\N
1186	\N	\N	\N	\N	\N	\N
1188	185590	\N	 	m,w,b,g	\N	\N
1190	\N	\N	 	b,g	black,blue,white	\N
1191	\N	\N	 	b,g	black,blue,white	\N
1192	185594	\N	 	m,w,b,g	\N	\N
1194	\N	\N	\N	\N	\N	\N
1195	185598	\N	 	m,w,b,g	\N	\N
1196	\N	\N	\N	\N	black,red	\N
1197	\N	\N	\N	\N	\N	\N
1199	185588	\N	 	m,w,b,g	\N	\N
1200	\N	\N	 	b,g	black,white	\N
1201	\N	\N	\N	\N	black,white	\N
1202	\N	\N	 	m,w	black,blue,white	\N
1204	185586	\N	 	m,w,b,g	\N	\N
1206	\N	\N	\N	\N	\N	\N
1207	\N	\N	\N	\N	\N	\N
1208	\N	\N	\N	\N	black,blue	\N
1209	185585	\N	 	m,w,b,g	\N	\N
1211	\N	\N	 	b,g	black,blue,white	\N
1213	\N	\N	\N	\N	black,lime	\N
1214	\N	\N	 	m,w	black,white	\N
1215	\N	\N	\N	\N	\N	\N
