100	fr_FR	\N	Football	\N		\N
102	fr_FR	\N	p	\N		\N
103	fr_FR	\N	p	\N		\N
106	fr_FR	\N	p	\N		\N
129	fr_FR	\N	p	\N		\N
137	fr_FR	\N	p	\N		\N
197	fr_FR	\N	p	\N		\N
198	fr_FR	\N	p	\N		\N
205	fr_FR	\N	p	\N		\N
214	fr_FR	\N	p	\N		\N
218	fr_FR	\N	p	\N		\N
224	fr_FR	\N	p	\N		\N
228	fr_FR	\N	p	\N		\N
232	fr_FR	\N	p	\N		\N
236	fr_FR	\N	p	\N		\N
240	fr_FR	\N	p	\N		\N
244	fr_FR	\N	p	\N		\N
246	fr_FR	\N	p	\N		\N
247	fr_FR	\N	p	\N		\N
250	fr_FR	\N	p	\N		\N
253	fr_FR	\N	p	\N		\N
256	fr_FR	\N	p	\N		\N
275	fr_FR	\N	p	\N		\N
291	fr_FR	\N	p	\N		\N
295	fr_FR	\N	p	\N		\N
297	fr_FR	\N	p	\N		\N
326	fr_FR	\N	p	\N		\N
345	fr_FR	\N	p	\N		\N
354	fr_FR	\N	p	\N		\N
495	fr_FR	\N	p	\N		\N
932	fr_FR	\N	p	\N		\N
1103	fr_FR	\N	p	\N		\N
1599	fr_FR	\N	p	\N		\N
1609	fr_FR	\N	p	\N		\N
2053	fr_FR	\N	p	\N		\N
2081	fr_FR	\N	p	\N		\N
6283	fr_FR	\N	Outdoor	\N		\N
6284	fr_FR	\N	p	\N		\N
6291	fr_FR	\N	Outdoor	\N		\N
6292	fr_FR	\N	Rucksacks	\N		\N
6298	fr_FR	\N	Tents	\N		\N
6303	fr_FR	\N	p	\N		\N
6309	fr_FR	\N	p	\N		\N
6314	fr_FR	\N	p	\N		\N
6317	fr_FR	\N	Sleepingbags	\N		\N
6322	fr_FR	\N	Mats	\N		\N
6325	fr_FR	\N	p	\N		\N
6328	fr_FR	\N	p	\N		\N
6335	fr_FR	\N	p	\N		\N
6337	fr_FR	\N	p	\N		\N
6343	fr_FR	\N	p	\N		\N
6350	fr_FR	\N	Outdoor	\N		\N
6352	fr_FR	\N	p	\N		\N
6354	fr_FR	\N	p	\N		\N
7107	fr_FR	\N	p	\N		\N
7121	fr_FR	\N	p	\N		\N
7144	fr_FR	\N	p	\N		\N
9217	fr_FR	\N	p	\N		\N
9247	fr_FR	\N	p	\N		\N
9268	fr_FR	\N	p	\N		\N
10703	fr_FR	\N	p	\N		\N
10706	fr_FR	\N	p	\N		\N
11147	fr_FR	\N	Outdoor	\N		\N
11148	fr_FR	\N	p	\N		\N
