1174	1174	1	12	1174	object	,932,	,932,100,11148,	default	1	1	FORCE HG	Football Shoes FORCE HG	#;#black#;#blue#;#white#;#	#;#m#;#w#;#	66421	77000	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1180	1180	1	12	1180	object	,932,	,932,100,11148,	default	1	1	Classic FG	Football Shoes Classic FG	#;#black#;#white#;#	#;#m#;#w#;#	66423	77000	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1190	1190	1	12	1190	object	,932,	,932,100,11148,	default	1	1	Classic FG Jr	Football Shoes Classic FG Jr	#;#black#;#blue#;#white#;#	#;#b#;#g#;#	66421	66200	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1191	1191	1	12	1191	object	,932,	,932,100,11148,	default	1	1	FORCE HG Jr	Football Shoes FORCE HG Junior	#;#black#;#blue#;#white#;#	#;#b#;#g#;#	66421	66200	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1200	1200	1	12	1200	object	,932,	,932,100,11148,	default	1	1	Classic TF Jr	Football Shoes Classic TF Jr	#;#black#;#white#;#	#;#b#;#g#;#	66423	66200	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1202	1202	1	12	1202	object	,932,	,932,100,11148,	default	1	1	FORCE IN	Football Shoes FORCE IN	#;#black#;#blue#;#white#;#	#;#m#;#w#;#	66421	77000	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1211	1211	1	12	1211	object	,932,	,932,100,11148,	default	1	1	FORCE IN Jr	Football Shoes FORCE IN Junior	#;#black#;#blue#;#white#;#	#;#b#;#g#;#	66421	66200	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1214	1214	1	12	1214	object	,932,	,932,100,11148,	default	1	1	Classic HG	Football Shoes Classic HG	#;#black#;#white#;#	#;#m#;#w#;#	66423	77000	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1217	1217	1	12	1217	object	,932,	,932,100,11148,	default	1	1	FORCE TF	Football Shoes FORCE TF	#;#black#;#blue#;#white#;#	#;#m#;#w#;#	66421	77000	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
1227	1227	1	12	1227	object	,932,	,932,100,11148,	default	1	1	FORCE TF Jr	Football Shoes FORCE TF Junior	#;#black#;#blue#;#white#;#	#;#b#;#g#;#	66421	66200	932	0	0	0	\N	\N	\N	0	0	0	\N	\N	\N
