1	multiselect	multiselect	a:0:{}
1	myCheckbox	checkbox	
1	myDate	date	\N
1	myHref	href	a:3:{s:2:"id";N;s:4:"type";N;s:7:"subtype";N;}
1	myImageBlock	block	a:0:{}
1	myInput	input	
1	myLink	link	a:10:{s:4:"type";s:8:"internal";s:4:"path";s:0:"";s:10:"parameters";s:0:"";s:6:"anchor";s:0:"";s:9:"accesskey";s:0:"";s:3:"rel";s:0:"";s:8:"tabindex";s:0:"";s:6:"target";s:0:"";s:5:"class";s:0:"";s:10:"attributes";s:0:"";}
1	myMultihref	multihref	a:0:{}
1	myNumber	numeric	
1	mySelect	select	\N
1	myTextarea	textarea	
1	myWysiwyg	wysiwyg	
3	content	areablock	a:1:{i:0;a:2:{s:3:"key";s:1:"1";s:4:"type";s:11:"productgrid";}}
3	content:1.productFilter	href	a:3:{s:2:"id";i:10961;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
3	enableSeocontent1	checkbox	1
3	filtercontent1	href	a:3:{s:2:"id";i:10961;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
3	headDescription	input	
3	header_headline	input	
3	header_subline	input	
3	headTitle	input	
3	healine	input	
3	hideSidebarcontent1	checkbox	
3	multiselect	multiselect	a:0:{}
3	myCheckbox	checkbox	
3	myDate	date	\N
3	myHref	href	a:3:{s:2:"id";N;s:4:"type";N;s:7:"subtype";N;}
3	myImageBlock	block	a:0:{}
3	myInput	input	
3	myLink	link	a:10:{s:4:"type";s:8:"internal";s:4:"path";s:0:"";s:10:"parameters";s:0:"";s:6:"anchor";s:0:"";s:9:"accesskey";s:0:"";s:3:"rel";s:0:"";s:8:"tabindex";s:0:"";s:6:"target";s:0:"";s:5:"class";s:0:"";s:10:"attributes";s:0:"";}
3	myMultihref	multihref	a:0:{}
3	myNumber	numeric	
3	mySelect	select	\N
3	myTextarea	textarea	
3	myWysiwyg	wysiwyg	
3	no-result-doccontent1	href	a:3:{s:2:"id";N;s:4:"type";N;s:7:"subtype";N;}
4	content	areablock	a:3:{i:0;a:2:{s:3:"key";s:1:"4";s:4:"type";s:16:"gallery-carousel";}i:1;a:2:{s:3:"key";s:1:"6";s:4:"type";s:15:"icon-teaser-row";}i:2;a:2:{s:3:"key";s:1:"2";s:4:"type";s:13:"productteaser";}}
4	content:2.teaserblock	block	a:4:{i:0;s:1:"1";i:1;s:1:"3";i:2;s:1:"4";i:3;s:1:"2";}
4	content:2.teaserblock:1.productteaser	renderlet	a:3:{s:2:"id";i:1711;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
4	content:2.teaserblock:2.productteaser	renderlet	a:3:{s:2:"id";i:1529;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
4	content:2.teaserblock:3.productteaser	renderlet	a:3:{s:2:"id";i:1174;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
4	content:2.teaserblock:4.productteaser	renderlet	a:3:{s:2:"id";i:1199;s:4:"type";s:6:"object";s:7:"subtype";s:6:"object";}
4	content:4.caption-text-0	textarea	E-Commerce Framework in Action
4	content:4.caption-text-1	textarea	
4	content:4.caption-text-2	textarea	
4	content:4.caption-title-0	input	pimcore E-Commerce Demo
4	content:4.caption-title-1	input	
4	content:4.caption-title-2	input	
4	content:4.image_0	image	a:9:{s:2:"id";i:420;s:3:"alt";s:0:"";s:11:"cropPercent";N;s:9:"cropWidth";N;s:10:"cropHeight";N;s:7:"cropTop";N;s:8:"cropLeft";N;s:8:"hotspots";a:0:{}s:6:"marker";a:0:{}}
4	content:4.image_1	image	a:9:{s:2:"id";i:410;s:3:"alt";s:0:"";s:11:"cropPercent";N;s:9:"cropWidth";N;s:10:"cropHeight";N;s:7:"cropTop";N;s:8:"cropLeft";N;s:8:"hotspots";a:0:{}s:6:"marker";a:0:{}}
4	content:4.image_2	image	a:9:{s:2:"id";i:1100;s:3:"alt";s:0:"";s:11:"cropPercent";N;s:9:"cropWidth";N;s:10:"cropHeight";N;s:7:"cropTop";N;s:8:"cropLeft";N;s:8:"hotspots";a:0:{}s:6:"marker";a:0:{}}
4	content:4.showPreviews	checkbox	1
4	content:4.slides	select	3
4	content:6.icon_0	select	euro
4	content:6.icon_1	select	plus
4	content:6.icon_2	select	pencil
