12254	AT - Salzburg	AT - Salzburg	1	\N	\N
12363	male	male	1	\N	\N
12364	female	female	1	\N	\N
12365	not-set	not-set	1	\N	\N
12367	Outdoor	Outdoor	1	1	7
12379	DE - Bayern	DE - Bayern	1	\N	\N
12380	Football	Football	1	1	5
12382	New Customer	New Customer	1	1	16
12383	Regular Customer	Regular Customer	1	1	17
12384	VIP Customer	VIP Customer	1	1	18
12387	Handball	Handball	1	1	6
12399	Volleyball	Volleyball	1	1	9
12427	Basketball	Basketball	1	1	4
12428	Running	Running	1	1	8
12430	Technical	Technical	1	\N	\N
12431	Productmodel	Productmodel	1	\N	\N
12432	Filter Definitions	Filter Definitions	1	\N	\N
12433	Marketing	Marketing	1	\N	\N
12434	Cross-Selling	Cross-Selling	1	\N	\N
12435	Targeting-Groups	Targeting-Groups	1	\N	\N
12436	Output	Output	1	\N	\N
12437	Vouchers	Vouchers	1	\N	\N
12438	Backoffice	Backoffice	1	\N	\N
12439	Tenants	Tenants	1	\N	\N
12441	at least once	at least once	1	\N	\N
12442	2 times	2 times	1	\N	\N
12443	3 times	3 times	1	\N	\N
12444	4 times	4 times	1	\N	\N
12445	5 times	5 times	1	\N	\N
12446	10 times	10 times	1	\N	\N
12448	Austria	Austria	1	\N	\N
12449	Germany	Germany	1	\N	\N
12451	German	German	1	\N	\N
12452	English	English	1	\N	\N
12454	Mobile	Mobile	1	\N	\N
12455	Desktop	Desktop	1	\N	\N
12456	Tablet	Tablet	1	\N	\N
