1237	1237	162	features	object
1237	1237	172	features	object
1237	1237	187	features	object
1237	1237	191	features	object
1372	1372	111	features	object
1372	1372	113	technologies	object
1372	1372	172	features	object
1372	1372	186	technologies	object
1372	1372	189	features	object
1375	1375	111	features	object
1375	1375	158	features	object
1375	1375	172	features	object
1375	1375	189	features	object
1377	1377	113	technologies	object
1377	1377	172	features	object
1377	1377	193	features	object
1378	1378	110	technologies	object
1378	1378	603	features	object
1378	1378	615	features	object
1378	1378	621	features	object
1378	1378	622	features	object
1378	1378	626	features	object
1378	1378	630	features	object
1378	1378	634	features	object
1378	1378	636	features	object
1378	1378	638	features	object
1380	1380	110	technologies	object
1380	1380	513	features	object
1380	1380	522	features	object
1380	1380	531	features	object
1380	1380	567	features	object
1380	1380	575	features	object
1380	1380	589	features	object
1380	1380	607	features	object
1393	1393	111	features	object
1393	1393	158	features	object
1393	1393	172	features	object
1393	1393	189	features	object
1401	1401	110	technologies	object
1401	1401	611	features	object
1401	1401	615	features	object
1401	1401	621	features	object
1401	1401	622	features	object
1401	1401	626	features	object
1401	1401	630	features	object
1401	1401	632	features	object
1401	1401	636	features	object
1401	1401	638	features	object
1408	1408	158	features	object
1408	1408	172	features	object
1408	1408	193	features	object
1409	1409	110	technologies	object
1409	1409	500	features	object
1409	1409	507	features	object
1409	1409	514	features	object
1409	1409	518	features	object
1409	1409	525	features	object
1409	1409	541	features	object
1409	1409	543	features	object
1409	1409	562	features	object
1409	1409	580	features	object
1409	1409	591	features	object
1409	1409	593	features	object
1410	1410	110	technologies	object
1410	1410	513	features	object
1410	1410	520	features	object
1410	1410	528	features	object
1410	1410	552	features	object
1410	1410	557	features	object
1410	1410	560	features	object
1410	1410	562	features	object
1410	1410	567	features	object
1410	1410	571	features	object
1410	1410	591	features	object
1410	1410	593	features	object
1413	1413	110	technologies	object
1413	1413	513	features	object
1413	1413	514	features	object
1413	1413	518	features	object
1413	1413	531	features	object
1413	1413	541	features	object
1413	1413	591	features	object
1413	1413	593	features	object
1413	1413	607	features	object
1414	1414	111	features	object
1414	1414	158	features	object
1414	1414	189	features	object
1421	1421	110	technologies	object
1421	1421	601	features	object
