1	0	folder		/	\N	1366279291	1366279291	1	1	\N	0
4	1	folder	products	/	\N	1325684240	1460214806	1	\N	a:0:{}	0
5	1247	folder	running	/technolgies/	\N	1325684247	1460214884	1	\N	a:0:{}	0
6	4	folder	volleyball	/products/	\N	1329732451	1460214806	1	\N	\N	0
7	4	folder	indoor	/products/	\N	1328610501	1460214806	1	\N	\N	0
8	4	folder	handball	/products/	\N	1329746123	1460214806	1	\N	\N	0
9	8	folder	balls	/products/handball/	\N	1329746129	1460214806	1	\N	\N	0
10	4	folder	football	/products/	\N	1329739491	1460214806	1	\N	\N	0
11	10	folder	hardgods	/products/football/	\N	1329739501	1460214806	1	\N	\N	0
12	6	folder	balls	/products/volleyball/	\N	1329732457	1460214806	1	\N	\N	0
13	11	folder	shinguards	/products/football/hardgods/	\N	1329749008	1460214806	1	\N	\N	0
14	11	folder	goalkeeper-gloves	/products/football/hardgods/	\N	1329748935	1460214806	1	\N	\N	0
15	4	folder	basketball	/products/	\N	1329815704	1460214806	1	\N	\N	0
16	15	folder	balls	/products/basketball/	\N	1329815711	1460214806	1	\N	\N	0
17	11	folder	balls	/products/football/hardgods/	\N	1329749079	1460214806	1	\N	\N	0
18	4	folder	bags	/products/	\N	1330009466	1460214806	1	\N	\N	0
24	1	folder	key-visuals	/	\N	1331901855	1460214790	1	\N	a:0:{}	0
28	4	folder	icons	/products/	\N	1332324920	1460214806	1	\N	\N	0
31	10	folder	shoes	/products/football/	\N	1332145946	1460214806	1	\N	\N	0
32	28	folder	sublabels	/products/icons/	\N	1332327972	1460214806	1	\N	\N	0
48	18	folder	ss12	/products/bags/	\N	1337153347	1460214806	1	\N	\N	0
49	16	folder	ss12	/products/basketball/balls/	\N	1337153493	1460214806	1	\N	\N	0
50	14	folder	ss12	/products/football/hardgods/goalkeeper-gloves/	\N	1337153840	1460214806	1	\N	\N	0
52	17	folder	ss12	/products/football/hardgods/balls/	\N	1337153572	1460214806	1	\N	\N	0
53	12	folder	ss12	/products/volleyball/balls/	\N	1337154222	1460214806	1	\N	\N	0
54	10	folder	apparel	/products/football/	\N	1337155246	1460214806	1	\N	\N	0
55	9	folder	ss12	/products/handball/balls/	\N	1337154175	1460214806	1	\N	\N	0
56	13	folder	ss12	/products/football/hardgods/shinguards/	\N	1337154025	1460214806	1	\N	\N	0
57	31	folder	ss12	/products/football/shoes/	\N	1337154079	1460214806	1	\N	\N	0
58	63	folder	apparel	/products/runnning/	\N	1345011949	1460214806	1	\N	\N	0
59	58	folder	fw1213	/products/runnning/apparel/	\N	1345011882	1460214806	1	\N	\N	0
60	7	folder	shoes	/products/indoor/	\N	1337160818	1460214806	1	\N	\N	0
