11904	0	paymentInfo	1460553849	\N	cancelled	payment_3764965443-1~11904	\N	Payment cancelled by 'cancelStartedOrderPayment'	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
11904	1	paymentInfo	1460553893	16063012	paymentAuthorized	payment_3764965443-2~11904	1460553904	 Demo AVS ResultMessage	€ 95,86	SOFORTUEBERWEISUNG	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a095,86","qpay_paymentType":"SOFORTUEBERWEISUNG","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 95.86\\n    [currency] => EUR\\n    [paymentType] => SOFORTUEBERWEISUNG\\n    [financialInstitution] => sofortueberweisung\\n    [language] => en\\n    [orderNumber] => 16063012\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_3764965443-2~11904\\n    [senderAccountOwner] => J\\u00fcrgen Mustermann\\n    [senderAccountNumber] => 112233\\n    [senderBankNumber] => 88888888\\n    [senderBankName] => Testbank \\n    [senderBIC] => PNAGDE00000\\n    [senderIBAN] => DE35888888880000112233\\n    [senderCountry] => DE\\n    [securityCriteria] => 1\\n    [gatewayReferenceNumber] => DGW_16063012_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,senderAccountOwner,senderAccountNumber,senderBankNumber,senderBankName,senderBIC,senderIBAN,senderCountry,securityCriteria,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => 6b03ec2d0844f40897a09e217cb9c313\\n    [country] => en\\n)\\n"}
11906	0	paymentInfo	1460554278	14343792	paymentAuthorized	payment_3142155131-1~11906	1460554288	 Demo AVS ResultMessage	€ 263,99	SOFORTUEBERWEISUNG	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a0263,99","qpay_paymentType":"SOFORTUEBERWEISUNG","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 263.99\\n    [currency] => EUR\\n    [paymentType] => SOFORTUEBERWEISUNG\\n    [financialInstitution] => sofortueberweisung\\n    [language] => en\\n    [orderNumber] => 14343792\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_3142155131-1~11906\\n    [senderAccountOwner] => J\\u00fcrgen Mustermann\\n    [senderAccountNumber] => 112233\\n    [senderBankNumber] => 88888888\\n    [senderBankName] => Testbank \\n    [senderBIC] => PNAGDE00000\\n    [senderIBAN] => DE35888888880000112233\\n    [senderCountry] => DE\\n    [securityCriteria] => 1\\n    [gatewayReferenceNumber] => DGW_14343792_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,senderAccountOwner,senderAccountNumber,senderBankNumber,senderBankName,senderBIC,senderIBAN,senderCountry,securityCriteria,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => 5c65c7ed50d57db0d434a9c60b57ed63\\n    [country] => en\\n)\\n"}
11911	0	paymentInfo	1460572924	\N	cancelled	payment_3952416457-1~11911	1460572937	 FINGERPRINT cannot be used twice. Probably the transaction has already been processed.  FINGERPRINT cannot be used twice. Probably the transaction has already been processed. 	€ 0,00	\N	FAILURE	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a00,00","qpay_paymentType":null,"qpay_paymentState":"FAILURE","qpay_response":"Array\\n(\\n    [mode] => failure\\n    [message] => FINGERPRINT cannot be used twice. Probably the transaction has already been processed. \\n    [consumerMessage] => \\n    [paymentState] => FAILURE\\n    [orderIdent] => payment_3952416457-1~11911\\n    [prefix] => \\/en\\n    [controller] => payment\\n    [action] => payment-status\\n    [pimcore_request_source] => staticroute\\n    [country] => en\\n)\\n"}
11911	1	paymentInfo	1460572942	15357283	paymentAuthorized	payment_3952416457-2~11911	1460572958	 Demo AVS ResultMessage	€ 142,21	SOFORTUEBERWEISUNG	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a0142,21","qpay_paymentType":"SOFORTUEBERWEISUNG","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 142.21\\n    [currency] => EUR\\n    [paymentType] => SOFORTUEBERWEISUNG\\n    [financialInstitution] => sofortueberweisung\\n    [language] => en\\n    [orderNumber] => 15357283\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_3952416457-2~11911\\n    [senderAccountOwner] => J\\u00fcrgen Mustermann\\n    [senderAccountNumber] => 112233\\n    [senderBankNumber] => 88888888\\n    [senderBankName] => Testbank \\n    [senderBIC] => PNAGDE00000\\n    [senderIBAN] => DE35888888880000112233\\n    [senderCountry] => DE\\n    [securityCriteria] => 1\\n    [gatewayReferenceNumber] => DGW_15357283_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,senderAccountOwner,senderAccountNumber,senderBankNumber,senderBankName,senderBIC,senderIBAN,senderCountry,securityCriteria,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => 894a95e5be5917cb04e09933e4c90a59\\n    [country] => en\\n)\\n"}
11915	0	paymentInfo	1460614132	\N	cancelled	payment_1988446220-1~11915	1460614619	 This means of payment is not supported (yet). This means of payment is not supported (yet).	€ 0,00	\N	FAILURE	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a00,00","qpay_paymentType":null,"qpay_paymentState":"FAILURE","qpay_response":"Array\\n(\\n    [mode] => failure\\n    [consumerMessage] => This means of payment is not supported (yet).\\n    [message] => This means of payment is not supported (yet).\\n    [paymentState] => FAILURE\\n    [orderIdent] => payment_1988446220-1~11915\\n    [prefix] => \\/en\\n    [controller] => payment\\n    [action] => payment-status\\n    [pimcore_request_source] => staticroute\\n    [country] => en\\n)\\n"}
11920	0	paymentInfo	1460616259	2585142	paymentAuthorized	payment_1976659892-1~11920	1460616371	 Demo AVS ResultMessage	€ 105,85	PAYPAL	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a0105,85","qpay_paymentType":"PAYPAL","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 105.85\\n    [currency] => EUR\\n    [paymentType] => PAYPAL\\n    [financialInstitution] => PayPal\\n    [language] => en\\n    [orderNumber] => 2585142\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_1976659892-1~11920\\n    [paypalPayerID] => PAYER123456ID\\n    [paypalPayerEmail] => buyer@paypal.com\\n    [paypalPayerLastName] => Consumer\\n    [paypalPayerFirstName] => Test\\n    [paypalPayerAddressName] => Consumer Test\\n    [paypalPayerAddressCountry] => United States\\n    [paypalPayerAddressCountryCode] => US\\n    [paypalPayerAddressCity] => New York\\n    [paypalPayerAddressState] => NY\\n    [paypalPayerAddressStreet1] => Park Row\\n    [paypalPayerAddressStreet2] => 2\\n    [paypalPayerAddressZIP] => 10038\\n    [gatewayReferenceNumber] => DGW_2585142_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,paypalPayerID,paypalPayerEmail,paypalPayerLastName,paypalPayerFirstName,paypalPayerAddressName,paypalPayerAddressCountry,paypalPayerAddressCountryCode,paypalPayerAddressCity,paypalPayerAddressState,paypalPayerAddressStreet1,paypalPayerAddressStreet2,paypalPayerAddressZIP,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => 3aaf3b5e329dd0c4342fa3dfc2600531\\n    [country] => en\\n)\\n"}
11922	0	paymentInfo	1460617021	4967305	paymentAuthorized	payment_2806137968-1~11922	1460617045	 Demo AVS ResultMessage	€ 186,07	SOFORTUEBERWEISUNG	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a0186,07","qpay_paymentType":"SOFORTUEBERWEISUNG","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 186.07\\n    [currency] => EUR\\n    [paymentType] => SOFORTUEBERWEISUNG\\n    [financialInstitution] => sofortueberweisung\\n    [language] => en\\n    [orderNumber] => 4967305\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_2806137968-1~11922\\n    [senderAccountOwner] => J\\u00fcrgen Mustermann\\n    [senderAccountNumber] => 112233\\n    [senderBankNumber] => 88888888\\n    [senderBankName] => Testbank \\n    [senderBIC] => PNAGDE00000\\n    [senderIBAN] => DE35888888880000112233\\n    [senderCountry] => DE\\n    [securityCriteria] => 1\\n    [gatewayReferenceNumber] => DGW_4967305_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,senderAccountOwner,senderAccountNumber,senderBankNumber,senderBankName,senderBIC,senderIBAN,senderCountry,securityCriteria,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => fa7e24e89b82c8985ca0f823c4d3ebee\\n    [country] => en\\n)\\n"}
11928	0	paymentInfo	1466765460	160624125101968660	committed	payment_4066085197-1~11928	1466766002	 Authorized	\N	\N	\N	130000	€ 85,80	\N	\N	\N	\N	{"datatrans_amount":"\\u20ac\\u00a085,80","datatrans_acqAuthorizationCode":"130000","datatrans_response":{"amount":"8580","maskedCC":"424242xxxxxx4242","aliasCC":"424242SKMPRI4242","pmethod":"VIS","refno":"payment_4066085197-1~11928","reqtype":"CAA","acqAuthorizationCode":"130000","responseMessage":"Authorized","uppTransactionId":"160624125101968660","expy":"18","responseCode":"01","currency":"EUR","expm":"12","status":"success","uppMsgType":"web"}}
11933	0	paymentInfo	1468597705	8624188	paymentAuthorized	payment_2237434454-1~11933	1468597757	 Demo AVS ResultMessage	€ 49,38	SOFORTUEBERWEISUNG	SUCCESS	\N	\N	\N	\N	\N	\N	{"qpay_amount":"\\u20ac\\u00a049,38","qpay_paymentType":"SOFORTUEBERWEISUNG","qpay_paymentState":"SUCCESS","qpay_response":"Array\\n(\\n    [controller] => handle-payment\\n    [action] => server-side-q-pay\\n    [module] => website\\n    [elementsclientauth] => disabled\\n    [amount] => 49.38\\n    [currency] => EUR\\n    [paymentType] => SOFORTUEBERWEISUNG\\n    [financialInstitution] => sofortueberweisung\\n    [language] => en\\n    [orderNumber] => 8624188\\n    [paymentState] => SUCCESS\\n    [orderIdent] => payment_2237434454-1~11933\\n    [senderAccountOwner] => J\\u00fcrgen Mustermann\\n    [senderAccountNumber] => 112233\\n    [senderBankNumber] => 88888888\\n    [senderBankName] => Testbank \\n    [senderBIC] => PNAGDE00000\\n    [senderIBAN] => DE35888888880000112233\\n    [senderCountry] => DE\\n    [securityCriteria] => 1\\n    [gatewayReferenceNumber] => DGW_8624188_RN\\n    [gatewayContractNumber] => DemoContractNumber123\\n    [avsResponseCode] => X\\n    [avsResponseMessage] => Demo AVS ResultMessage\\n    [avsProviderResultCode] => X\\n    [avsProviderResultMessage] => Demo AVS ProviderResultMessage\\n    [responseFingerprintOrder] => amount,currency,paymentType,financialInstitution,language,orderNumber,paymentState,orderIdent,senderAccountOwner,senderAccountNumber,senderBankNumber,senderBankName,senderBIC,senderIBAN,senderCountry,securityCriteria,gatewayReferenceNumber,gatewayContractNumber,avsResponseCode,avsResponseMessage,avsProviderResultCode,avsProviderResultMessage,secret,responseFingerprintOrder\\n    [responseFingerprint] => f5031fee228f1a8b8401e05c653d7be3\\n    [country] => en\\n)\\n"}
