104	en_GB	\N	Stretch Woven	Stretch Woven	\N	N;
110	de_AT	\N	\N	\N	\N	N;
110	en_GB	1116	DRY PLUS Moisture	DRY PLUS Moisture	<p>\
\	Clothing with DRY PLUS by PRO TOUCH features both, highest comfort and a cool and pleasant body climate management.&nbsp;DRY PLUS is a fibre technology that rapidly transports moisture away from the body.</p>\
	N;
110	fr_FR	\N	\N	\N	\N	N;
111	en_GB	92	QUICK LACES SYSTEM	QUICK LACES SYSTEM	<p>\
\	Innovative system for super fast lacing of the shoe. The system provides an evenly distributed pressure around the entire shoe, resulting in a significantly improved tight and comfortable fit.&nbsp;</p>\
	N;
113	de_AT	\N	\N	\N	\N	N;
113	en_GB	1119	Ortholite	Ortholite	<p>\
\	OrthoLite is an open cell PU foam that is 95-100 percent breathable, allowing air to circulate in and around the insole and keeping the foot cooler inside the shoe. The unique open cell structure of OrthoLite creates a moisture management system indside the shoe by moving moisture away from the foot and leaving it dryer.</p>\
<p>\
\	&nbsp;</p>\
	N;
113	fr_FR	\N	\N	\N	\N	N;
121	en_GB	\N	Windstopper Fabric	Windstopper Fabric	\N	N;
122	en_GB	\N	Vest	Vest	\N	N;
125	en_GB	\N	Woven	Woven	\N	N;
132	en_GB	\N	PU	PU	\N	N;
134	en_GB	\N	Cotton Jersey	Cotton Jersey	\N	N;
136	en_GB	\N	Canvas	Canvas	\N	N;
140	en_GB	\N	Mesh	Mesh	\N	N;
141	en_GB	\N	Elasthan	Elasthan	\N	N;
144	en_GB	\N	Synthetic	Synthetic	\N	N;
148	en_GB	\N	Synthetic Leather	Synthetic Leather	\N	N;
149	en_GB	\N	Mesh Fabrics	Mesh Fabrics	\N	N;
151	en_GB	\N	Phylon / TPR	Phylon / TPR	\N	N;
153	en_GB	\N	Nylon	Nylon	\N	N;
154	en_GB	93	SUPER SHAPE	SUPER SHAPE	<p>\
\	Anatomically shaped and pre-molded insole with additional cushioning for long-lasting comfort and perfect fit. If needed, the Super Shape insole can be removed and replaced with orthotics.</p>\
	N;
158	en_GB	90	I-SHAPE	I-SHAPE	<p>\
