1095	12	Product	185613	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1096	12	Product	185613	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,maroon,black,	\N	\N	\N	\N	\N	\N
1105	12	Product	117871	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1106	12	Product	117871	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,black,red,white,	\N	\N	\N	\N	\N	\N
1112	12	Product	117871	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,blue,aqua,	\N	\N	\N	\N	\N	\N
1116	12	Product	117860	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	,1095,1128,	\N	\N	\N
1117	12	Product	117860	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,maroon,black,	\N	\N	,1095,1128,	\N	\N	\N
1122	12	Product	117860	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,red,blue,white,black,	\N	\N	,1095,1128,	\N	\N	\N
1125	12	Product	185616	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1126	12	Product	185616	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,maroon,black,	\N	\N	\N	\N	\N	\N
1128	12	Product	185618	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1129	12	Product	185618	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,maroon,black,	\N	\N	\N	\N	\N	\N
1133	12	Product	117885	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1134	12	Product	117885	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,maroon,black,	\N	\N	\N	\N	\N	\N
1136	12	Product	117885	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,aqua,black,	\N	\N	\N	\N	\N	\N
1139	12	Product	185628	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1141	12	Product	185631	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	not completed	completed
1148	12	Product	185630	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1151	12	Product	185632	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	not completed	completed
1153	12	Product	185629	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1155	12	Product	185631	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,lime,black,	\N	\N	\N	\N	\N	\N
1157	12	Product	185631	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,Orange,black,	\N	\N	\N	\N	\N	\N
1158	12	Product	177966	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	\N	\N	\N	\N	\N	\N	\N
1160	12	Product	185631	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,Orange,blue,	\N	\N	\N	\N	\N	\N
1162	12	Product	185630	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,navy,blue,	\N	\N	\N	\N	\N	\N
1164	12	Product	185630	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,yellow,blue,	\N	\N	\N	\N	\N	\N
1166	12	Product	185629	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,navy,white,red,	\N	\N	\N	\N	\N	\N
1168	12	Product	177966	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,aqua,black,	\N	\N	\N	\N	\N	\N
1169	12	Product	177966	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,blue,yellow,	\N	\N	\N	\N	\N	\N
1170	12	Product	117871	\N	 	\N	\N	,m,w,b,g,	,326,	\N	\N	\N	,10700,	,black,maroon,	\N	\N	\N	\N	\N	\N
1173	12	Product	185628	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,navy,white,red,	\N	\N	\N	\N	\N	\N
1174	12	Product	\N	\N	 	\N	\N	,m,w,	,932,	\N	\N	\N	,127,10700,	,black,blue,white,	,132,148,166,	\N	\N	\N	\N	\N
1176	12	Product	185586	\N	 	\N	\N	,m,w,b,g,	,495,	\N	\N	\N	,127,10700,	\N	\N	\N	\N	\N	\N	\N
1177	12	Product	185632	\N	 	\N	\N	,m,w,b,g,	,354,	\N	\N	\N	,10700,	,Orange,blue,	\N	\N	\N	\N	\N	\N
