2048	2048	1	12	2048	object	,295,	,295,205,100,11148,	default	1	1	Arjan	Arjan, Protouch, Multisport	\N	#;#m#;#w#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	295	532	0	0	\N
2057	2057	1	12	2057	object	,291,	,291,205,100,11148,	default	1	1	Ago & Albin	Ago & Albin, X-Training, Teamsport	\N	#;#m#;#w#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	291	518	0	0	\N
2058	2058	1	12	2058	object	,1609,2053,	,1609,198,197,11148,2053,205,100,	default	1	1	Said ux	Said ux, Protouch, Multisport	\N	#;#m#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	3662	1678	110	0	\N
2066	2066	1	12	2066	object	,232,2053,	,232,198,197,11148,2053,205,100,	default	1	1	Stanley ux	Stanley ux, Protouch, Multisport	\N	#;#m#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	2285	3809	110	0	\N
2069	2069	1	12	2069	object	,214,1103,	,214,205,100,11148,1103,	default	1	1	Capone	Capone, Protouch, multisport	\N	#;#m#;#w#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	1317	1560	110	0	\N
1974	1974	1	12	1974	object	,240,	,240,236,11148,	default	1	1	Beach Camp	Volleyball Balls Beach Camp	\N	#;#g#;#b#;#w#;#m#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	240	0	0	0	0
1988	1988	1	12	1988	object	,326,	,326,106,11148,	default	1	1	DUNK	Basketball Balls DUNK	\N	#;#m#;#w#;#b#;#g#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	326	0	0	0	0
1993	1993	1	12	1993	object	,214,1103,	,214,205,100,11148,1103,	default	1	1	Antoine	Antoine, Protouch, Multisport	\N	#;#m#;#w#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	1317	522	0	0	\N
1990	1990	1	12	1990	object	,214,1103,	,214,205,100,11148,1103,	default	1	1	Cannavaro	Cannavaro, Protouch, Multisport	\N	#;#m#;#w#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	77000	1317	2178	110	0	\N
1970	1970	1	12	1970	object	,240,	,240,236,11148,	default	1	1	Beachstar	Volleyball Balls Beachstar	\N	#;#g#;#b#;#w#;#m#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	240	0	0	0	0
1976	1976	1	12	1976	object	,240,	,240,236,11148,	default	1	1	MP 200	Volleyball Balls MP 200	\N	#;#m#;#w#;#b#;#g#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	240	0	0	0	0
1972	1972	1	12	1972	object	,240,	,240,236,11148,	default	1	1	MP 50	Volleyball Balls MP 50	\N	#;#w#;#m#;#b#;#g#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	240	0	0	0	0
1964	1964	1	12	1964	object	,253,	,253,247,100,11148,	default	1	1	FORCE 500 PG Jr.	Football Goalkeeper Gloves Junior FORCE 500 PG Jr.	\N	#;#b#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66000	253	0	0	0	0
1962	1962	1	12	1962	object	,240,	,240,236,11148,	default	1	1	BV-1000	Volleyball Balls BV-1000	\N	#;#g#;#b#;#w#;#m#;#	\N	\N	\N	0	0	0	\N	\N	\N	0	66250	240	0	0	0	0
