104	16	ProductTechnology
110	16	ProductTechnology
111	16	ProductTechnology
113	16	ProductTechnology
121	16	ProductTechnology
122	16	ProductTechnology
125	16	ProductTechnology
132	16	ProductTechnology
134	16	ProductTechnology
136	16	ProductTechnology
140	16	ProductTechnology
141	16	ProductTechnology
144	16	ProductTechnology
148	16	ProductTechnology
149	16	ProductTechnology
151	16	ProductTechnology
153	16	ProductTechnology
154	16	ProductTechnology
158	16	ProductTechnology
159	16	ProductTechnology
161	16	ProductTechnology
162	16	ProductTechnology
163	16	ProductTechnology
166	16	ProductTechnology
167	16	ProductTechnology
168	16	ProductTechnology
171	16	ProductTechnology
172	16	ProductTechnology
178	16	ProductTechnology
180	16	ProductTechnology
181	16	ProductTechnology
184	16	ProductTechnology
185	16	ProductTechnology
186	16	ProductTechnology
187	16	ProductTechnology
189	16	ProductTechnology
191	16	ProductTechnology
193	16	ProductTechnology
195	16	ProductTechnology
196	16	ProductTechnology
500	16	ProductTechnology
501	16	ProductTechnology
502	16	ProductTechnology
503	16	ProductTechnology
504	16	ProductTechnology
507	16	ProductTechnology
510	16	ProductTechnology
513	16	ProductTechnology
514	16	ProductTechnology
515	16	ProductTechnology
517	16	ProductTechnology
518	16	ProductTechnology
519	16	ProductTechnology
520	16	ProductTechnology
522	16	ProductTechnology
524	16	ProductTechnology
525	16	ProductTechnology
528	16	ProductTechnology
530	16	ProductTechnology
531	16	ProductTechnology
532	16	ProductTechnology
533	16	ProductTechnology
534	16	ProductTechnology
537	16	ProductTechnology
538	16	ProductTechnology
540	16	ProductTechnology
541	16	ProductTechnology
543	16	ProductTechnology
544	16	ProductTechnology
546	16	ProductTechnology
547	16	ProductTechnology
548	16	ProductTechnology
549	16	ProductTechnology
551	16	ProductTechnology
552	16	ProductTechnology
554	16	ProductTechnology
555	16	ProductTechnology
556	16	ProductTechnology
557	16	ProductTechnology
558	16	ProductTechnology
560	16	ProductTechnology
561	16	ProductTechnology
562	16	ProductTechnology
565	16	ProductTechnology
566	16	ProductTechnology
567	16	ProductTechnology
568	16	ProductTechnology
570	16	ProductTechnology
571	16	ProductTechnology
572	16	ProductTechnology
573	16	ProductTechnology
574	16	ProductTechnology
575	16	ProductTechnology
576	16	ProductTechnology
577	16	ProductTechnology
579	16	ProductTechnology
580	16	ProductTechnology
581	16	ProductTechnology
584	16	ProductTechnology
586	16	ProductTechnology
587	16	ProductTechnology
588	16	ProductTechnology
589	16	ProductTechnology
591	16	ProductTechnology
593	16	ProductTechnology
594	16	ProductTechnology
596	16	ProductTechnology
597	16	ProductTechnology
598	16	ProductTechnology
599	16	ProductTechnology
601	16	ProductTechnology
602	16	ProductTechnology
603	16	ProductTechnology
604	16	ProductTechnology
607	16	ProductTechnology
610	16	ProductTechnology
611	16	ProductTechnology
615	16	ProductTechnology
618	16	ProductTechnology
621	16	ProductTechnology
622	16	ProductTechnology
624	16	ProductTechnology
626	16	ProductTechnology
630	16	ProductTechnology
632	16	ProductTechnology
634	16	ProductTechnology
636	16	ProductTechnology
638	16	ProductTechnology
639	16	ProductTechnology
934	16	ProductTechnology
1684	16	ProductTechnology
7828	16	ProductTechnology
