4846	specificAttributes	details.die-cut-eva-midsole,details.rubber-toe-protection,details.pro-lacing-system,details.heel-protector-a,details.heel-protector-b,details.comfort-lacing-system,details.stabilizer,details.molded-eva-midsole,details.multigrip-sole,details.water-flow-insole,details.comfort-cushion-system,details.flex-zone,details.microfibre-footbed,details.eva-footbed,details.crampon-compatible,details.2nd-density-midsole,details.vibram
6730	specificAttributes	details.multigrip-sole
6731	specificAttributes	\N
6744	specificAttributes	details.multigrip-sole
6748	specificAttributes	\N
6772	specificAttributes	\N
6811	specificAttributes	\N
6812	specificAttributes	\N
6836	specificAttributes	details.rubber-toe-protection,details.heel-protector-a
6837	specificAttributes	\N
7162	specificAttributes	details.heel-protector-a,details.rubber-toe-protection
7163	specificAttributes	\N
7167	specificAttributes	details.molded-eva-midsole,details.rubber-toe-protection
7168	specificAttributes	\N
7171	specificAttributes	details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection
7172	specificAttributes	\N
7173	specificAttributes	details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection
7174	specificAttributes	\N
7175	specificAttributes	details.molded-eva-midsole,details.rubber-toe-protection,details.comfort-cushion-system
7176	specificAttributes	\N
7183	specificAttributes	details.molded-eva-midsole
7184	specificAttributes	\N
7186	specificAttributes	details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection
7187	specificAttributes	\N
7190	specificAttributes	\N
7192	specificAttributes	details.molded-eva-midsole
7195	specificAttributes	\N
7196	specificAttributes	\N
7198	specificAttributes	\N
7199	specificAttributes	\N
7200	specificAttributes	\N
7672	specificAttributes	\N
7674	specificAttributes	\N
7677	specificAttributes	\N
7679	specificAttributes	\N
7682	specificAttributes	\N
7685	specificAttributes	\N
7687	specificAttributes	\N
7689	specificAttributes	\N
7691	specificAttributes	\N
7693	specificAttributes	\N
7696	specificAttributes	\N
7699	specificAttributes	\N
7704	specificAttributes	\N
7706	specificAttributes	\N
7708	specificAttributes	\N
7713	specificAttributes	\N
7723	specificAttributes	\N
7724	specificAttributes	\N
7734	specificAttributes	\N
7735	specificAttributes	\N
7740	specificAttributes	\N
7744	specificAttributes	\N
7745	specificAttributes	\N
7746	specificAttributes	\N
7750	specificAttributes	\N
7753	specificAttributes	\N
7754	specificAttributes	\N
7758	specificAttributes	\N
7760	specificAttributes	\N
7761	specificAttributes	\N
7762	specificAttributes	\N
8980	specificAttributes	\N
