100	de_AT	\N	Football	\N		\N
102	de_AT	\N	p	\N		\N
103	de_AT	\N	p	\N		\N
106	de_AT	\N	p	\N		\N
129	de_AT	\N	p	\N		\N
137	de_AT	\N	p	\N		\N
197	de_AT	\N	p	\N		\N
198	de_AT	\N	p	\N		\N
205	de_AT	\N	p	\N		\N
214	de_AT	\N	p	\N		\N
218	de_AT	\N	p	\N		\N
224	de_AT	\N	p	\N		\N
228	de_AT	\N	p	\N		\N
232	de_AT	\N	p	\N		\N
236	de_AT	\N	p	\N		\N
240	de_AT	\N	p	\N		\N
244	de_AT	\N	p	\N		\N
246	de_AT	\N	p	\N		\N
247	de_AT	\N	p	\N		\N
250	de_AT	\N	p	\N		\N
253	de_AT	\N	p	\N		\N
256	de_AT	\N	p	\N		\N
275	de_AT	\N	p	\N		\N
291	de_AT	\N	p	\N		\N
295	de_AT	\N	p	\N		\N
297	de_AT	\N	p	\N		\N
326	de_AT	\N	p	\N		\N
345	de_AT	\N	p	\N		\N
354	de_AT	\N	p	\N		\N
495	de_AT	\N	p	\N		\N
932	de_AT	\N	p	\N		\N
1103	de_AT	\N	p	\N		\N
1599	de_AT	\N	p	\N		\N
1609	de_AT	\N	p	\N		\N
2053	de_AT	\N	p	\N		\N
2081	de_AT	\N	p	\N		\N
6283	de_AT	\N	Outdoor	\N		\N
6284	de_AT	\N	p	\N		\N
6291	de_AT	\N	Outdoor	\N		\N
6292	de_AT	\N	Rucksacks	\N		\N
6298	de_AT	\N	Tents	\N		\N
6303	de_AT	\N	p	\N		\N
6309	de_AT	\N	p	\N		\N
6314	de_AT	\N	p	\N		\N
6317	de_AT	\N	Sleepingbags	\N		\N
6322	de_AT	\N	Mats	\N		\N
6325	de_AT	\N	p	\N		\N
6328	de_AT	\N	p	\N		\N
6335	de_AT	\N	p	\N		\N
6337	de_AT	\N	p	\N		\N
6343	de_AT	\N	p	\N		\N
6350	de_AT	\N	Outdoor	\N		\N
6352	de_AT	\N	p	\N		\N
6354	de_AT	\N	p	\N		\N
7107	de_AT	\N	p	\N		\N
7121	de_AT	\N	p	\N		\N
7144	de_AT	\N	p	\N		\N
9217	de_AT	\N	p	\N		\N
9247	de_AT	\N	p	\N		\N
9268	de_AT	\N	p	\N		\N
10703	de_AT	\N	p	\N		\N
10706	de_AT	\N	p	\N		\N
11147	de_AT	\N	Outdoor	\N		\N
11148	de_AT	\N	p	\N		\N
