11972	paymentProvider	PREPAYMENT	\N	SUCCESS	\N	\N	\N
11976	paymentProvider	PREPAYMENT	\N	SUCCESS	\N	\N	\N
11980	paymentProvider	PAYPAL	2947632	SUCCESS	70.87	EUR	\N
11982	paymentProvider	PAYPAL	4240503	SUCCESS	12.79	EUR	\N
11986	paymentProvider	CCARD	15144502	SUCCESS	70.87	EUR	\N
11988	paymentProvider	SOFORTUEBERWEISUNG	1249621	SUCCESS	49.38	EUR	\N
11992	paymentProvider	INVOICE	12995718	SUCCESS	70.87	EUR	\N
11994	paymentProvider	PREPAYMENT	\N	SUCCESS	\N	\N	\N
12004	paymentProvider	SOFORTUEBERWEISUNG	3070820	SUCCESS	55.85	EUR	\N
12006	paymentProvider	CCARD	14824177	SUCCESS	105.85	EUR	\N
12008	paymentProvider	CCARD	13189259	SUCCESS	45.77	EUR	\N
12071	paymentProvider	PREPAYMENT	\N	SUCCESS	\N	\N	\N
12073	paymentProvider	CCARD	10491672	SUCCESS	45.77	EUR	\N
12075	paymentProvider	CCARD	6421949	SUCCESS	98.86	EUR	\N
12077	paymentProvider	CCARD	11870650	SUCCESS	71.82	EUR	\N
12079	paymentProvider	PAYPAL	5125936	SUCCESS	94.49	EUR	\N
12081	paymentProvider	INVOICE	9924015	SUCCESS	12.79	EUR	\N
12184	paymentProvider	SOFORTUEBERWEISUNG	3834857	SUCCESS	1	EUR	\N
12209	paymentProvider	CCARD	8128180	SUCCESS	33.23	EUR	\N
