12254	12252	object	group	0	object		0
12363	12362	object	group	0	object		0
12364	12362	object	group	0	object		0
12365	12362	object	group	0	object		0
12367	12366	object	group	0	object		0
12379	12252	object	group	0	object		0
12380	12366	object	group	0	object		0
12382	12381	object	group	0	object		0
12383	12381	object	group	0	object		0
12384	12381	object	group	0	object		0
12387	12366	object	group	0	object		0
12399	12366	object	group	0	object		0
12427	12366	object	group	0	object		0
12428	12366	object	group	0	object		0
12430	12429	object	group	0	object		0
12431	12429	object	group	0	object		0
12432	12429	object	group	0	object		0
12433	12429	object	group	0	object		0
12434	12429	object	group	0	object		0
12435	12429	object	group	0	object		0
12436	12429	object	group	0	object		0
12437	12429	object	group	0	object		0
12438	12429	object	group	0	object		0
12439	12429	object	group	0	object		0
12441	12440	object	group	0	object		0
12442	12440	object	group	0	object		0
12443	12440	object	group	0	object		0
12444	12440	object	group	0	object		0
12445	12440	object	group	0	object		0
12446	12440	object	group	0	object		0
12448	12447	object	group	0	object		0
12449	12447	object	group	0	object		0
12451	12450	object	group	0	object		0
12452	12450	object	group	0	object		0
12454	12453	object	group	0	object		0
12455	12453	object	group	0	object		0
12456	12453	object	group	0	object		0
