4846	specificAttributes	,details.die-cut-eva-midsole,details.rubber-toe-protection,details.pro-lacing-system,details.heel-protector-a,details.heel-protector-b,details.comfort-lacing-system,details.stabilizer,details.molded-eva-midsole,details.multigrip-sole,details.water-flow-insole,details.comfort-cushion-system,details.flex-zone,details.microfibre-footbed,details.eva-footbed,details.crampon-compatible,details.2nd-density-midsole,details.vibram,
6730	specificAttributes	,details.multigrip-sole,
6731	specificAttributes	,details.multigrip-sole,
6744	specificAttributes	,details.multigrip-sole,
6748	specificAttributes	,details.multigrip-sole,
6772	specificAttributes	,details.multigrip-sole,
6811	specificAttributes	\N
6812	specificAttributes	\N
6836	specificAttributes	,details.rubber-toe-protection,details.heel-protector-a,
6837	specificAttributes	,details.rubber-toe-protection,details.heel-protector-a,
7162	specificAttributes	,details.heel-protector-a,details.rubber-toe-protection,
7163	specificAttributes	,details.heel-protector-a,details.rubber-toe-protection,
7167	specificAttributes	,details.molded-eva-midsole,details.rubber-toe-protection,
7168	specificAttributes	,details.molded-eva-midsole,details.rubber-toe-protection,
7171	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7172	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7173	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7174	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7175	specificAttributes	,details.molded-eva-midsole,details.rubber-toe-protection,details.comfort-cushion-system,
7176	specificAttributes	,details.molded-eva-midsole,details.rubber-toe-protection,details.comfort-cushion-system,
7183	specificAttributes	,details.molded-eva-midsole,
7184	specificAttributes	,details.molded-eva-midsole,
7186	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7187	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7190	specificAttributes	,details.flex-zone,details.molded-eva-midsole,details.rubber-toe-protection,
7192	specificAttributes	,details.molded-eva-midsole,
7195	specificAttributes	,details.molded-eva-midsole,
7196	specificAttributes	,details.molded-eva-midsole,
7198	specificAttributes	,details.molded-eva-midsole,
7199	specificAttributes	,details.molded-eva-midsole,
7200	specificAttributes	,details.molded-eva-midsole,
7672	specificAttributes	\N
7674	specificAttributes	,details.heel-protector-a,details.rubber-toe-protection,
