100	de_AT	\N	Football	\N	\N	\N
100	en_GB	\N	Football	PRO TOUCH Football	\N	\N
100	fr_FR	\N	Football	\N	\N	\N
102	en_GB	\N	Footwear	PRO TOUCH Running Shoes	\N	\N
103	en_GB	\N	Road Shoes	PRO TOUCH Road Running Shoes	\N	\N
106	de_AT	\N	\N	\N	\N	\N
106	en_GB	\N	Basketball	PRO TOUCH Basketball	\N	\N
106	fr_FR	\N	\N	\N	\N	\N
129	en_GB	\N	Trail Shoes	PRO TOUCH Trail Running Shoes	\N	\N
137	en_GB	\N	OZ Shoes	PRO TOUCH OZ Running Shoes	\N	\N
197	de_AT	\N	\N	\N	\N	\N
197	en_GB	\N	Running	PRO TOUCH Running Equipment	\N	\N
197	fr_FR	\N	\N	\N	\N	\N
198	en_GB	\N	Apparel	PRO TOUCH Running Apparel	\N	\N
205	en_GB	\N	Apparels	PRO TOUCH Apparels	\N	\N
214	en_GB	\N	Jersey	PRO TOUCH Football Jerseys	\N	\N
218	en_GB	\N	Shirts / Tops	PRO TOUCH Football Tops	\N	\N
224	en_GB	\N	Pants	PRO TOUCH Running Pants	\N	\N
228	en_GB	\N	Running Jackets	PRO TOUCH Running Jackets	\N	\N
232	en_GB	\N	Running Shirts & Tops	PRO TOUCH Running T-Shirts / Tops	\N	\N
236	de_AT	\N	\N	\N	\N	\N
236	en_GB	\N	Volleyball	PRO TOUCH Volleyball	\N	\N
236	fr_FR	\N	\N	\N	\N	\N
240	en_GB	\N	Balls	PRO TOUCH Volleyball Balls	\N	\N
244	en_GB	\N	Longsleeve Shirts	PRO TOUCH Running Longsleeve Shirts	\N	\N
246	en_GB	\N	Vests	PRO TOUCH Running Vests	\N	\N
250	en_GB	\N	Balls	PRO TOUCH Football Balls	\N	\N
253	en_GB	\N	Gloves	PRO TOUCH Football Goalkeeper Gloves	\N	\N
256	en_GB	\N	Shinguards	PRO TOUCH Football Shinguards	\N	\N
275	en_GB	\N	Tanks	PRO TOUCH Running Tanks	\N	\N
291	en_GB	\N	Tracksuits	PRO TOUCH Football Tracksuits	\N	\N
295	en_GB	\N	Pants	PRO TOUCH Football Pants	\N	\N
297	en_GB	\N	Jackets	PRO TOUCH Football Jackets	\N	\N
326	en_GB	\N	Basket Balls	PRO TOUCH Basketball Balls	\N	\N
345	de_AT	\N	\N	\N	\N	\N
345	en_GB	\N	Handball	PRO TOUCH Handball	\N	\N
345	fr_FR	\N	\N	\N	\N	\N
354	en_GB	\N	Balls	PRO TOUCH Handball Balls	\N	\N
495	en_GB	\N	Bags	PRO TOUCH Teamsport Bags	\N	\N
932	en_GB	\N	Football Shoes	PRO TOUCH Football Shoes	\N	\N
1103	en_GB	\N	Trikot	\N	\N	\N
1599	en_GB	\N	Indoor Shoes	PRO TOUCH Indoor Shoes	\N	\N
1609	en_GB	\N	Shorts	PRO TOUCH Running Shorts	\N	\N
2053	en_GB	\N	Compression	PRO TOUCH Compression Wear	\N	\N
2081	en_GB	\N	Indoor Shoes	PRO TOUCH Indoor Shoes	\N	\N
6283	de_AT	\N	\N	\N	\N	\N
6283	en_GB	\N	Apparel	McKINLEY Apparel	\N	\N
