17	11426	2015-05-25
18	11425	2015-05-18
19	11425	2015-05-18
20	11425	2015-05-18
21	11425	2015-05-19
22	11425	2015-05-20
23	11425	2015-05-20
24	11425	2015-05-26
25	11425	2015-05-20
26	11425	2015-05-24
27	11425	2015-05-20
28	11425	2015-05-22
29	11425	2015-05-21
30	11425	2015-05-26
31	11425	2015-05-26
32	11425	2015-05-24
33	11425	2015-05-22
34	11426	2015-05-25
35	11426	2015-05-18
36	11426	2015-05-24
37	11426	2015-05-18
38	11426	2015-05-24
39	11426	2015-05-18
40	11426	2015-05-23
41	11426	2015-05-18
42	11426	2015-05-20
43	11426	2015-05-20
44	11426	2015-05-20
45	11426	2015-05-20
46	11426	2015-05-19
47	11426	2015-05-19
48	11426	2015-09-19
49	11425	2015-05-19
50	11425	2015-05-19
51	11425	2015-05-21
52	11425	2015-05-21
53	11425	2015-05-21
54	11425	2015-05-21
55	11425	2015-05-21
56	11425	2015-05-21
57	11425	2015-05-21
58	11425	2015-05-21
59	11425	2015-05-21
60	11425	2015-05-21
61	11425	2015-05-21
62	11425	2015-05-22
63	11425	2015-05-22
64	11426	2015-05-22
65	11426	2015-05-22
66	11425	2015-05-22
67	11426	2015-05-22
68	11425	2015-05-22
69	11628	2015-05-23
70	11635	2015-05-23
71	11635	2015-05-23
72	11628	2015-05-23
73	11635	2015-11-26
74	11635	2015-11-27
75	11635	2015-11-27
76	11635	2015-11-27
77	11635	2015-12-08
78	11425	2016-04-12
79	11425	2016-04-13
80	11425	2016-04-13
