100	14	ProductCategory	11235	object
102	14	ProductCategory	\N	\N
103	14	ProductCategory	\N	\N
106	14	ProductCategory	\N	\N
129	14	ProductCategory	\N	\N
137	14	ProductCategory	\N	\N
197	14	ProductCategory	\N	\N
198	14	ProductCategory	\N	\N
205	14	ProductCategory	11235	object
214	14	ProductCategory	11235	object
218	14	ProductCategory	11235	object
224	14	ProductCategory	\N	\N
228	14	ProductCategory	\N	\N
232	14	ProductCategory	\N	\N
236	14	ProductCategory	\N	\N
240	14	ProductCategory	\N	\N
244	14	ProductCategory	\N	\N
246	14	ProductCategory	\N	\N
247	14	ProductCategory	11235	object
250	14	ProductCategory	11235	object
253	14	ProductCategory	11235	object
256	14	ProductCategory	11235	object
275	14	ProductCategory	\N	\N
291	14	ProductCategory	11235	object
295	14	ProductCategory	11235	object
297	14	ProductCategory	11235	object
326	14	ProductCategory	\N	\N
345	14	ProductCategory	\N	\N
354	14	ProductCategory	\N	\N
495	14	ProductCategory	11235	object
932	14	ProductCategory	11235	object
1103	14	ProductCategory	11235	object
1599	14	ProductCategory	\N	\N
1609	14	ProductCategory	\N	\N
2053	14	ProductCategory	11235	object
2081	14	ProductCategory	\N	\N
6283	14	ProductCategory	\N	\N
6284	14	ProductCategory	\N	\N
6291	14	ProductCategory	\N	\N
6292	14	ProductCategory	11267	object
6298	14	ProductCategory	11265	object
6303	14	ProductCategory	\N	\N
6309	14	ProductCategory	\N	\N
6314	14	ProductCategory	\N	\N
6317	14	ProductCategory	11266	object
6322	14	ProductCategory	11268	object
6325	14	ProductCategory	\N	\N
6328	14	ProductCategory	\N	\N
6335	14	ProductCategory	\N	\N
6337	14	ProductCategory	\N	\N
6343	14	ProductCategory	\N	\N
6350	14	ProductCategory	\N	\N
6352	14	ProductCategory	\N	\N
6354	14	ProductCategory	\N	\N
7107	14	ProductCategory	\N	\N
7121	14	ProductCategory	\N	\N
7144	14	ProductCategory	\N	\N
9217	14	ProductCategory	\N	\N
9247	14	ProductCategory	\N	\N
9268	14	ProductCategory	\N	\N
10703	14	ProductCategory	\N	\N
10706	14	ProductCategory	\N	\N
11147	14	ProductCategory	\N	\N
11148	14	ProductCategory	\N	\N
